,time,RH_parcel,q_parcel,T_parcel,z_parcel,qa_ts,qc_ts,qr_ts,na_ts,nc_ts,nr_ts
2253,1126.5,1.006892314060841,0.012054591318633968,289.931164977639,563.25,1.342096305907893e-07,0.0001961076437212611,0.0006995211624429591,1650499394.6352406,174154377.95187572,139691.91046214307
2254,1127.0,1.0068914840421728,0.012053940595332964,289.93034404129656,563.5,1.3583698816811403e-07,0.0001965023016373823,0.0006997756004702641,1650460678.907455,174096064.402207,139033.41242225567
2255,1127.5,1.006890490448936,0.012053289204280535,289.9295247666917,563.75,1.3748887301842732e-07,0.00019703295365170825,0.0006998946876235162,1650426430.3144102,174081933.99522656,132514.4348892668
2256,1128.0,1.0068894134920252,0.012052637478236643,289.9287063257323,564.0,1.3916282557384554e-07,0.00019747449459019326,0.0007001031987763696,1650364185.0332928,174039301.81855774,131827.8236100594
2257,1128.5,1.0068881682138793,0.012051985064828347,289.92788959531856,564.25,1.408572003649004e-07,0.0001975615112349726,0.0007006669011650952,1650318466.3968284,173975119.00007805,131428.62911758543
2258,1129.0,1.006886803559189,0.012051332167115422,289.92707407012455,564.5,1.425732066524486e-07,0.0001980794927681134,0.0007008001013385913,1650285244.0474548,173952104.64688072,118869.53891956367
2259,1129.5,1.0068854034453294,0.01205067913319714,289.9262588838854,564.75,1.4430995070427974e-07,0.00019852823654461225,0.0007010026547363223,1650247796.179265,173484053.82155904,117511.09829164628
2260,1130.0,1.0068839599841821,0.012050025930366493,289.9254441179943,565.0,1.4606980350846394e-07,0.00019912458277163755,0.0007010577514871399,1650194627.3797126,172832248.1546674,117360.57065807408
2261,1130.5,1.006882550356388,0.012049372878746316,289.9246289758073,565.25,1.4785027835151348e-07,0.00019965122653416888,0.0007011823788699423,1650136161.5754623,172823427.0720329,114009.90044925768
2262,1131.0,1.0068809531069745,0.012048719059852112,289.9238157430256,565.5,1.4964209178393603e-07,0.00020018071723506713,0.0007013049152498153,1650102374.0579975,172771528.9278534,111547.3870281872
2263,1131.5,1.006879219406237,0.012048064685956759,289.92300389139604,565.75,1.5146868338175363e-07,0.00020055107520621757,0.0007015871045824201,1650058993.4049234,172747031.13850152,107032.13140008705
2264,1132.0,1.0068773965498,0.012047409953245426,289.92219293270057,566.0,1.532868585311058e-07,0.0002011004500978249,0.0007016906442269971,1650025828.9377735,172353543.8763648,106681.64185202196
2265,1132.5,1.006875885357291,0.012046756524020319,289.92137873020505,566.25,1.5515722982500056e-07,0.00020150976499703054,0.0007019328881816054,1649975041.9211674,172314846.46164143,106402.03350634249
2266,1133.0,1.0068741656430886,0.01204610224093308,289.9205666525943,566.5,1.5705134934244035e-07,0.00020191538237065084,0.0007021796597757059,1649940861.720989,172294379.52986476,101497.17031429846
2267,1133.5,1.0068724297945533,0.01204544790187385,289.91975471427304,566.75,1.5896840648258677e-07,0.00020232523698910876,0.0007024222271593373,1649907537.8536334,172171751.54865372,98229.6409736204
2268,1134.0,1.0068706611742668,0.012044793437853231,289.91894308692537,567.0,1.4036989251995047e-07,0.0002028411964871001,0.0007025793301959287,1645033330.268204,176984686.84615168,97509.28524353296
2269,1134.5,1.0068686570719454,0.012044138008272457,289.9181338624294,567.25,1.4206924986109777e-07,0.00020344425806573152,0.0007026299988407305,1644988915.3982754,176163708.62473667,97035.25791825562
2270,1135.0,1.0068673570949447,0.012043485509516743,289.91731734440754,567.5,1.4378838268074227e-07,0.0002039592223136149,0.0007027658142157414,1644950172.5072808,176091392.60761434,92579.79314574544
2271,1135.5,1.0068661455358996,0.01204283338826552,289.91649988694417,567.75,1.455302639896023e-07,0.00020437980175609538,0.0007029956141431752,1644913305.6513288,176029928.59583378,92376.18284716034
2272,1136.0,1.0068647598145493,0.012042180555686819,289.91568419965995,568.0,1.4728498349417e-07,0.00020454382664443727,0.0007034826671140294,1644892881.8891537,175995144.02109182,91624.62928866992
2273,1136.5,1.0068632266986879,0.01204152712282029,289.9148700062263,568.25,1.4903879435825818e-07,0.0002050898922375925,0.0007035882805765395,1644865645.199086,175971382.49242416,90381.8689564432
2274,1137.0,1.0068614851220372,0.012040872836500835,289.9140579366591,568.5,1.29057253861234e-07,0.00020543010225809104,0.0007039223384159934,1639641232.0129948,181130886.86037967,90367.97059470203
2275,1137.5,1.0068595196276575,0.012040217632694939,289.9132481503094,568.75,1.3060495731746297e-07,0.00020595819480481752,0.0007040479019717071,1639611345.6755233,181113073.1187963,87654.25879163158
2276,1138.0,1.0068573682097781,0.012039561668994461,289.9124402550009,569.0,1.3217048826583533e-07,0.00020642242820722646,0.0007042380667388273,1639584752.9000087,181062767.16285878,86815.8010442159
2277,1138.5,1.0068551294656165,0.012038905354245918,289.9116332332955,569.25,1.3375208975184627e-07,0.0002064577367308301,0.0007048574913622806,1639556401.1727848,181017670.2006449,85859.35745375633
2278,1139.0,1.0068528309387954,0.0120382488026698,289.9108268009491,569.5,1.3535738454628045e-07,0.00020701443170096506,0.0007049557426734691,1639534474.9898255,181000185.62316912,79275.88066752766
2279,1139.5,1.0068506255380008,0.012037592648236164,289.9100193802909,569.75,1.36981360708328e-07,0.0002076117844184003,0.0007050129204135085,1639489332.6592274,180887921.22213173,78772.69436359192
2280,1140.0,1.0068481326944718,0.012036935313129594,289.9092148978049,570.0,1.3862541590383234e-07,0.00020819989675603795,0.0007050804991272447,1639471795.4322848,180859139.3677999,78403.29348894137
2281,1140.5,1.0068453421459946,0.012036276754879267,289.90841345918204,570.25,1.4026027655193832e-07,0.00020860542852264665,0.0007053318907503156,1639438053.4980974,180825497.71380767,78365.52625312861
2282,1141.0,1.006842345309673,0.012035617352549976,289.90761412109805,570.5,1.4190714684899198e-07,0.0002084443761219962,0.0007061506986099601,1639414137.8834598,180808395.54160756,77055.67616262534
2283,1141.5,1.0068392671887187,0.012034957624410834,289.9068155938105,570.75,1.4361090536270486e-07,0.00020900553337725497,0.0007062475657353282,1639388058.1928768,180787735.89520594,76595.96268240518
2284,1142.0,1.0068359667234668,0.0120342969857134,289.90601933249934,571.0,1.4533479619950432e-07,0.00020710847931375696,0.0007088035346054247,1639346132.9479976,180694971.1499416,112897.56949046646
2285,1142.5,1.00683251422365,0.012033635727979669,289.9052246116954,571.25,1.4707542254926707e-07,0.00020766480516857418,0.000708906725857988,1639304846.0813363,180575380.77962482,112323.74401637971
2286,1143.0,1.0068289495338179,0.012032974016418431,289.9044310202672,571.5,1.4884087948506264e-07,0.0002032315231783853,0.0007139999539524791,1639271359.713862,180407914.95886213,187452.56397344437
2287,1143.5,1.0068252776923579,0.012032311871943273,289.90363850617007,571.75,1.5062351547014656e-07,0.00020375397692753362,0.0007141378620425031,1639256215.7912557,180388789.64390925,187414.70616257662
2288,1144.0,1.0068213504021406,0.012031648679856285,289.9028485991149,572.0,1.524267955124335e-07,0.00020437134317136826,0.0007141818846056137,1639091700.9866302,180384324.8444673,187033.55189964443
2289,1144.5,1.006817157938982,0.01203098439991115,289.902061399257,572.25,1.542540440804547e-07,0.00020457788289148516,0.0007146377975820628,1639005662.6827323,180363849.49097252,186844.39095956954
2290,1145.0,1.0068128243728813,0.012030319546449494,289.90127562662775,572.5,1.5606647748785305e-07,0.00020494308102167162,0.0007149356404801252,1638968962.7948334,180345433.30617672,186799.36005945873
2291,1145.5,1.0068082957571498,0.01202965389589674,289.90049183760533,572.75,1.5793592952469369e-07,0.00020554700933656523,0.0007149954932659495,1638931834.570934,180327933.38322097,185553.22958879304
2292,1146.0,1.0068035338390222,0.012028987289744608,289.8997104266466,573.0,1.3839564015543614e-07,0.00020611861945736762,0.0007151100295866487,1633778856.0821085,185343433.89686126,185175.0578616803
2293,1146.5,1.006798695664217,0.01202832037897594,289.8989297737436,573.25,1.400363339345487e-07,0.00020669481669352343,0.0007151991024253828,1633762537.912321,185336053.69503272,184395.46207833567
2294,1147.0,1.006793685295596,0.012027652765972566,289.8981508683918,573.5,1.4169503007893627e-07,0.00020731367010251751,0.0007152462033236176,1633715763.3522773,185326880.8229309,174240.0257210558
2295,1147.5,1.0067885351625676,0.012026984585183883,289.8973733760062,573.75,1.4337319879519903e-07,0.00020789173242728232,0.0007153346436188191,1633682480.65326,185320434.87439936,173817.34633883517
2296,1148.0,1.006783139803261,0.012026315399543857,289.8965983842507,574.0,1.4506777139770391e-07,0.00020851103886966225,0.0007153828282438633,1633661559.0405605,185286339.78424034,173550.99898605485
2297,1148.5,1.0067775103149712,0.012025645255100916,289.8958257785311,574.25,1.4676029202076406e-07,0.00020913513069268242,0.0007154271883431615,1633624070.4632907,185230461.71165845,173110.99030421252
